                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4316,                 3.6353,                 1.5008,                0.00758,                0.48447,                0.03693,                0.01887,                      0,                    inf,                      0,                 0.0892,                 0.0012,                 0.0012
                      1,                 1.1851,                 3.4944,                 1.3537,                0.00964,                0.51813,                0.06244,                0.03449,                      0,                    inf,                      0,               0.077475,              0.0024753,              0.0024753
                      2,                 1.1085,                   3.27,                 1.2685,                0.01415,                0.61135,                0.11993,                0.07549,                      0,                    inf,                      0,               0.065725,              0.0037248,              0.0037248
                      3,                 1.1227,                 2.8628,                  1.279,                0.86594,                0.09278,                0.14747,                0.09674,                      0,                    inf,                      0,               0.053949,              0.0049485,              0.0049485
                      4,                 1.1325,                 2.5654,                 1.2998,                0.81282,                0.16495,                0.20915,                0.14639,                      0,                    inf,                      0,               0.042147,              0.0061466,              0.0061466
                      5,                 1.1531,                 2.3289,                 1.3065,                0.44843,                0.23307,                0.24656,                0.17344,                      0,                    inf,                      0,               0.030319,              0.0073188,              0.0073188
                      6,                 1.1708,                 2.2647,                 1.3169,                  0.713,                0.30799,                0.35256,                0.25287,                      0,                    inf,                      0,               0.018465,              0.0084654,              0.0084654
                      7,                 1.1895,                 2.2958,                 1.3054,                0.32125,                 0.3776,                0.33223,                0.22464,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      8,                 1.1785,                 2.1094,                 1.2788,                0.43476,                 0.3865,                 0.4083,                0.24597,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.1643,                 2.0177,                 1.2322,                0.46463,                0.43024,                0.43041,                0.25833,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.1622,                 1.9821,                 1.2621,                0.42308,                 0.3187,                0.31694,                0.17595,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.1621,                 1.9615,                 1.2611,                0.38753,                0.46072,                0.35682,                0.22351,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.1867,                 1.9027,                 1.2819,                0.42651,                0.36371,                0.36126,                0.21413,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
